country,tournament,season,week,game_id,home_team,home_team_id,away_team,away_team_id,injury_time_1,injury_time_2,start_timestamp,status,home_score_current,home_score_display,home_score_period1,home_score_period2,home_score_normaltime,away_score_current,away_score_display,away_score_period1,away_score_period2,away_score_normaltime
USA,"USL, League Two",2026,1,15587585,Virginia Beach United,316282,Christos FC,253848,,,1779310800,Ended,4.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587581,Blackwatch Rush,407743,New England FC,1077315,,,1779314400,Ended,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,4.0
USA,"USL, League Two",2026,1,15587582,Louisville City FC USL 2,1173421,West Virginia United,253410,,,1779314400,Ended,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0
USA,"USL, League Two",2026,1,15587584,Steel City FC,467565,Lorain County Leviathan FC,1173439,,,1779314400,Ended,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587587,Fort Lauderdale United FC,1077309,Brevard Fire SC,465618,,,1779316200,Ended,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587589,AC Connecticut,253660,Connecticut Rush,1173429,,,1779318000,Ended,1.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0
USA,"USL, League Two",2026,1,15587590,Akron City FC,414148,Cleveland Force SC,407744,,,1779318000,Ended,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0
USA,"USL, League Two",2026,1,15587591,Lakeland United FC,1173423,FC Miami City Champions,253231,,,1779318000,Ended,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0
USA,"USL, League Two",2026,1,15587592,Lionsbridge FC,284085,Virginia Marauders FC,465621,,,1779318000,Ended,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587593,Nona FC,407750,Shark Coast FC,1173431,,,1779318000,Ended,5.0,5.0,3.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587583,North Carolina FC U23,253200,Hickory FC,508947,,,1779318000,Ended,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0
USA,"USL, League Two",2026,1,15587599,Patuxent Football Athletics,407757,Charlottesville Blues,507376,,,1779318000,Ended,1.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0
USA,"USL, League Two",2026,1,15587594,Real Central New Jersey,380872,Pennsylvania Classics,414154,,,1779318000,Ended,4.0,4.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0
USA,"USL, League Two",2026,1,15587595,Seacoast United Phantoms,253404,Western Mass Pioneers,36101,,,1779318000,Ended,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587596,Tobacco Road FC,253201,Charlotte Independence II,380880,,,1779318000,Ended,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587597,Wake FC,316192,Salem City FC,316193,,,1779318000,Ended,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0
USA,"USL, League Two",2026,1,15587600,Cedar Stars FC,420865,Manhattan SC,316281,,,1779319800,Ended,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587602,East Atlanta FC,380881,Columbus United FC,510443,,,1779319800,Ended,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587605,Louisiana Krewe FC,339309,Mississippi Brilla FC,253788,,,1779319800,Ended,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0
USA,"USL, League Two",2026,1,15587601,Morris Elite SC,380874,Ironbound SC,465622,,,1779319800,Ended,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0
USA,"USL, League Two",2026,1,15587604,AHFC Royals,284112,Twin City Toucans,253789,,,1779321600,Ended,6.0,6.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587603,Project 51O,341750,CA San Juan FC,294927,,,1779321600,Ended,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587606,Springfield FC,1077484,Saint Louis Ambush,1077482,,,1779321600,Ended,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
USA,"USL, League Two",2026,1,15587588,St. Croix SC,407751,Sueño FC,507364,,,1779321600,Ended,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,6.0
USA,"USL, League Two",2026,1,15587607,San Francisco Glens SC,284088,Marin FC Legends,407740,,,1779323400,Ended,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0
USA,"USL, League Two",2026,1,15587608,Bangers FC,1090012,West Seattle Junction FC,507371,,,1779328800,Ended,3.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587610,Brooke House FC,507378,SC Jacksonville II,1173432,,,1779404400,Ended,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587611,Oakland County FC,380876,Kalamazoo FC,313650,,,1779404400,Ended,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587612,Pittsburgh Riverhounds 2,1173436,Erie Sports Center,1077308,,,1779404400,Ended,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587613,Southern SA Kings,380882,Apotheos FC,414152,,,1779406200,Ended,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587614,FC Motown II,382638,Westchester Flames,253413,,,1779408000,Ended,6.0,6.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587615,West Chester United,419461,Delaware FC,1088163,,,1779408000,Postponed,,,,,,,,,,
USA,"USL, League Two",2026,1,15587616,Laredo Heat,153488,San Antonio FC 2,1173424,,,1779411600,Ended,4.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587618,Charlotte Eagles,23633,Port City FC,341745,,,1779487200,Ended,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587620,Ocean City Nor'easters,36099,Philadelphia Lone Star,419436,,,1779490800,Ended,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587621,Vermont Green FC,407738,Blackwatch Rush,407743,,,1779490800,Ended,9.0,9.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587622,Colorado Storm,1090019,Utah United,507360,,,1779494400,Ended,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587623,Lubbock Matadors SC,414147,Fort Worth Vaqueros,313656,,,1779494400,Ended,4.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587624,Red River FC,1090017,Jackson Boom USL 2,1173440,,,1779494400,Ended,3.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587617,Northern Virginia FC,383424,Loudoun United FC 2,1173420,,,1779496200,Ended,3.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0
USA,"USL, League Two",2026,1,15587625,Midlakes United,507373,Tacoma Stars,381179,,,1779499800,Ended,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587626,FC Olympia,407749,Snohomish United,1077314,,,1779501600,Ended,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0
USA,"USL, League Two",2026,1,15587667,Southern California Eagles,253421,Ventura County Fusion,71056,,,1779501600,Ended,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0
USA,"USL, League Two",2026,1,15587627,Davis Legacy,407739,Almaden FC,507372,,,1779503400,Ended,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
USA,"USL, League Two",2026,1,15587634,Chicago Dutch Lions FC,407745,Sueño FC,507364,,,1779555600,Ended,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0
USA,"USL, League Two",2026,1,15587629,River Light FC,507365,Rochester FC,465630,,,1779559200,Ended,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0
USA,"USL, League Two",2026,1,15587640,Asheville City SC,313610,Charlotte Independence II,380880,,,1779562800,Postponed,,,,,,,,,,
USA,"USL, League Two",2026,1,15587628,Christos FC,253848,Annapolis Blues FC,467566,,,1779562800,Interrupted,0.0,0.0,0.0,,,0.0,0.0,0.0,,
USA,"USL, League Two",2026,1,15587630,Project 51O,341750,San Francisco Glens SC,284088,,,1779566400,Ended,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587631,Edgewater Castle FC,516610,RKC Third Coast,465628,,,1779570000,Ended,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0
USA,"USL, League Two",2026,1,15587632,Springfield FC,1077484,Sunflower State FC,414143,,,1779570000,Ended,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0
USA,"USL, League Two",2026,1,15587633,Brooke House FC,507378,Brave SC,222130,,,1779571800,Ended,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0
USA,"USL, League Two",2026,1,15587636,Brevard Fire SC,465618,Miami AC,407746,,,1779573600,Ended,1.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0
USA,"USL, League Two",2026,1,15587637,Northern Indiana FC,516600,West Virginia United,253410,,,1779573600,Ended,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0
USA,"USL, League Two",2026,1,15587638,Morris Elite SC,380874,Hudson Valley Hammers,382154,,,1779575400,Ended,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587639,AFC Ann Arbor,313628,Lansing City Football,407759,,,1779577200,Ended,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587641,Boston City FC,253850,FC Boston Bolts,253403,,,1779577200,Ended,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0
USA,"USL, League Two",2026,1,15587642,Connecticut Rush,1173429,Black Rock FC,284122,,,1779577200,Ended,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0
USA,"USL, League Two",2026,1,15587646,FC Lehigh Valley United,253414,Reading United AC,100015,,,1779577200,Ended,3.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587643,Fort Lauderdale United FC,1077309,FC Miami City Champions,253231,,,1779577200,Ended,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
